time_sec,rpm,reason
42.743,3488,Missing spark - no dwell before next trigger
42.778,3488,Missing spark - no dwell before next trigger
42.872,3488,Missing spark - no dwell before next trigger
42.941,3488,Missing spark - no dwell before next trigger
42.958,3488,Missing spark - no dwell before next trigger
42.993,3488,Missing spark - no dwell before next trigger
43.110,3571,Missing spark - no dwell before next trigger
43.152,3571,Missing spark - no dwell before next trigger
43.228,3571,Missing spark - no dwell before next trigger
43.236,3571,Missing spark - no dwell before next trigger
43.337,3571,Missing spark - no dwell before next trigger
43.346,3571,Missing spark - no dwell before next trigger
43.354,3571,Missing spark - no dwell before next trigger
43.371,3571,Missing spark - no dwell before next trigger
43.438,3571,Missing spark - no dwell before next trigger
43.522,3571,Missing spark - no dwell before next trigger
43.606,3571,Missing spark - no dwell before next trigger
43.639,3571,Missing spark - no dwell before next trigger
43.782,3571,Missing spark - no dwell before next trigger
43.858,3571,Missing spark - no dwell before next trigger
43.908,3571,Missing spark - no dwell before next trigger
44.118,3571,Missing spark - no dwell before next trigger
44.144,3571,Missing spark - no dwell before next trigger
44.169,3571,Missing spark - no dwell before next trigger
44.177,3571,Missing spark - no dwell before next trigger
44.429,3571,Missing spark - no dwell before next trigger
44.454,3571,Missing spark - no dwell before next trigger
44.463,3571,Missing spark - no dwell before next trigger
44.480,3571,Missing spark - no dwell before next trigger
44.522,3571,Missing spark - no dwell before next trigger
44.816,3571,Missing spark - no dwell before next trigger
44.832,3571,Missing spark - no dwell before next trigger
44.841,3571,Missing spark - no dwell before next trigger
44.891,3571,Missing spark - no dwell before next trigger
44.925,3571,Missing spark - no dwell before next trigger
44.958,3571,Missing spark - no dwell before next trigger
45.025,3659,Missing spark - no dwell before next trigger
45.041,3659,Missing spark - no dwell before next trigger
45.066,3659,Missing spark - no dwell before next trigger
45.082,3659,Missing spark - no dwell before next trigger
45.148,3659,Missing spark - no dwell before next trigger
45.205,3659,Missing spark - no dwell before next trigger
45.369,3659,Missing spark - no dwell before next trigger
45.591,3659,Missing spark - no dwell before next trigger
45.730,3659,Missing spark - no dwell before next trigger
45.779,3659,Missing spark - no dwell before next trigger
45.845,3659,Missing spark - no dwell before next trigger
45.870,3659,Missing spark - no dwell before next trigger
46.107,3659,Missing spark - no dwell before next trigger
46.140,3659,Missing spark - no dwell before next trigger
46.296,3659,Missing spark - no dwell before next trigger
46.329,3659,Missing spark - no dwell before next trigger
46.394,3659,Missing spark - no dwell before next trigger
46.468,3659,Missing spark - no dwell before next trigger
46.476,3659,Missing spark - no dwell before next trigger
46.493,3659,Missing spark - no dwell before next trigger
46.534,3659,Missing spark - no dwell before next trigger
46.788,3659,Missing spark - no dwell before next trigger
46.870,3659,Missing spark - no dwell before next trigger
47.009,3797,Missing spark - no dwell before next trigger
47.222,3797,Missing spark - no dwell before next trigger
47.443,3797,Missing spark - no dwell before next trigger
47.570,3797,Missing spark - no dwell before next trigger
48.091,3797,Missing spark - no dwell before next trigger
48.288,3797,Missing spark - no dwell before next trigger
48.320,3797,Missing spark - no dwell before next trigger
48.462,3797,Missing spark - no dwell before next trigger
48.486,3797,Missing spark - no dwell before next trigger
48.502,3797,Missing spark - no dwell before next trigger
48.715,3797,Missing spark - no dwell before next trigger
48.794,3797,Missing spark - no dwell before next trigger
48.881,3797,Missing spark - no dwell before next trigger
48.999,3797,Missing spark - no dwell before next trigger
49.038,3896,Missing spark - no dwell before next trigger
49.292,3896,Missing spark - no dwell before next trigger
49.323,3896,Missing spark - no dwell before next trigger
49.438,3896,Missing spark - no dwell before next trigger
49.477,3896,Missing spark - no dwell before next trigger
49.562,3896,Missing spark - no dwell before next trigger
49.585,3896,Missing spark - no dwell before next trigger
49.685,3896,Missing spark - no dwell before next trigger
49.754,3896,Missing spark - no dwell before next trigger
49.885,3896,Missing spark - no dwell before next trigger
49.931,3896,Missing spark - no dwell before next trigger
50.008,3896,Missing spark - no dwell before next trigger
50.093,3896,Missing spark - no dwell before next trigger
50.170,3896,Missing spark - no dwell before next trigger
50.216,3896,Missing spark - no dwell before next trigger
50.309,3896,Missing spark - no dwell before next trigger
50.332,3896,Missing spark - no dwell before next trigger
50.378,3896,Missing spark - no dwell before next trigger
50.547,3896,Missing spark - no dwell before next trigger
50.840,3896,Missing spark - no dwell before next trigger
50.855,3896,Missing spark - no dwell before next trigger
50.909,3896,Missing spark - no dwell before next trigger
50.925,3896,Missing spark - no dwell before next trigger
51.062,3947,Missing spark - no dwell before next trigger
51.298,3947,Missing spark - no dwell before next trigger
51.351,3947,Missing spark - no dwell before next trigger
51.381,3947,Missing spark - no dwell before next trigger
51.480,3947,Missing spark - no dwell before next trigger
51.495,3947,Missing spark - no dwell before next trigger
51.564,3947,Missing spark - no dwell before next trigger
51.617,3947,Missing spark - no dwell before next trigger
51.685,3947,Missing spark - no dwell before next trigger
51.845,3947,Missing spark - no dwell before next trigger
51.959,3947,Missing spark - no dwell before next trigger
52.073,3947,Missing spark - no dwell before next trigger
52.096,3947,Missing spark - no dwell before next trigger
52.225,3947,Missing spark - no dwell before next trigger
52.309,3947,Missing spark - no dwell before next trigger
52.316,3947,Missing spark - no dwell before next trigger
52.324,3947,Missing spark - no dwell before next trigger
52.415,3947,Missing spark - no dwell before next trigger
52.438,3947,Missing spark - no dwell before next trigger
52.521,3947,Missing spark - no dwell before next trigger
52.575,3947,Missing spark - no dwell before next trigger
52.597,3947,Missing spark - no dwell before next trigger
52.734,3947,Missing spark - no dwell before next trigger
52.871,3947,Missing spark - no dwell before next trigger
52.894,3947,Missing spark - no dwell before next trigger
52.947,3947,Missing spark - no dwell before next trigger
52.985,3947,Missing spark - no dwell before next trigger
53.007,4054,Missing spark - no dwell before next trigger
53.052,4054,Missing spark - no dwell before next trigger
53.229,4054,Missing spark - no dwell before next trigger
53.296,4054,Missing spark - no dwell before next trigger
53.318,4054,Missing spark - no dwell before next trigger
53.333,4054,Missing spark - no dwell before next trigger
53.363,4054,Missing spark - no dwell before next trigger
53.407,4054,Missing spark - no dwell before next trigger
53.466,4054,Missing spark - no dwell before next trigger
53.496,4054,Missing spark - no dwell before next trigger
53.570,4054,Missing spark - no dwell before next trigger
53.651,4054,Missing spark - no dwell before next trigger
53.710,4054,Missing spark - no dwell before next trigger
53.888,4054,Missing spark - no dwell before next trigger
53.903,4054,Missing spark - no dwell before next trigger
54.029,4054,Missing spark - no dwell before next trigger
54.088,4054,Missing spark - no dwell before next trigger
54.184,4054,Missing spark - no dwell before next trigger
54.265,4054,Missing spark - no dwell before next trigger
54.384,4054,Missing spark - no dwell before next trigger
54.399,4054,Missing spark - no dwell before next trigger
54.465,4054,Missing spark - no dwell before next trigger
54.561,4054,Missing spark - no dwell before next trigger
54.584,4054,Missing spark - no dwell before next trigger
54.606,4054,Missing spark - no dwell before next trigger
54.732,4054,Missing spark - no dwell before next trigger
54.739,4054,Missing spark - no dwell before next trigger
54.746,4054,Missing spark - no dwell before next trigger
54.783,4054,Missing spark - no dwell before next trigger
54.835,4054,Missing spark - no dwell before next trigger
54.872,4054,Missing spark - no dwell before next trigger
54.880,4054,Missing spark - no dwell before next trigger
54.909,4054,Missing spark - no dwell before next trigger
54.998,4054,Missing spark - no dwell before next trigger
55.128,4167,Missing spark - no dwell before next trigger
55.192,4167,Missing spark - no dwell before next trigger
55.200,4167,Missing spark - no dwell before next trigger
55.243,4167,Missing spark - no dwell before next trigger
55.250,4167,Missing spark - no dwell before next trigger
55.257,4167,Missing spark - no dwell before next trigger
55.272,4167,Missing spark - no dwell before next trigger
55.293,4167,Missing spark - no dwell before next trigger
55.336,4167,Missing spark - no dwell before next trigger
55.380,4167,Missing spark - no dwell before next trigger
55.524,4167,Missing spark - no dwell before next trigger
55.711,4167,Missing spark - no dwell before next trigger
55.869,4167,Missing spark - no dwell before next trigger
55.891,4167,Missing spark - no dwell before next trigger
55.992,4167,Missing spark - no dwell before next trigger
56.020,4167,Missing spark - no dwell before next trigger
56.157,4167,Missing spark - no dwell before next trigger
56.208,4167,Missing spark - no dwell before next trigger
56.222,4167,Missing spark - no dwell before next trigger
56.251,4167,Missing spark - no dwell before next trigger
56.294,4167,Missing spark - no dwell before next trigger
56.308,4167,Missing spark - no dwell before next trigger
56.323,4167,Missing spark - no dwell before next trigger
56.359,4167,Missing spark - no dwell before next trigger
56.366,4167,Missing spark - no dwell before next trigger
56.481,4167,Missing spark - no dwell before next trigger
56.546,4167,Missing spark - no dwell before next trigger
56.560,4167,Missing spark - no dwell before next trigger
56.625,4167,Missing spark - no dwell before next trigger
56.690,4167,Missing spark - no dwell before next trigger
56.762,4167,Missing spark - no dwell before next trigger
56.784,4167,Missing spark - no dwell before next trigger
56.848,4167,Missing spark - no dwell before next trigger
56.935,4167,Missing spark - no dwell before next trigger
57.013,4286,Missing spark - no dwell before next trigger
57.027,4286,Missing spark - no dwell before next trigger
57.104,4286,Missing spark - no dwell before next trigger
57.111,4286,Missing spark - no dwell before next trigger
57.216,4286,Missing spark - no dwell before next trigger
