Timing Analysis: wokwi-logic.vcd
Total measurements: 4680

Time(s)    RPM   Delay(μs)  Delay(°)  Advance(°)  Mode
 10.88   1987    3202.1     38.2       8.8  SAME
 10.90   1987    2948.2     35.1      11.9  SAME
 10.91   1987    3205.1     38.2       8.8  SAME
 10.93   1987    2948.1     35.1      11.9  SAME
 10.94   1987    3214.6     38.3       8.7  SAME
 10.96   1987    3199.6     38.1       8.9  SAME
 10.97   1987    2948.3     35.1      11.9  SAME
 10.99   1987    3208.7     38.2       8.8  SAME
 11.00   1987    2948.6     35.1      11.9  SAME
 11.02   1987    3198.1     38.1       8.9  SAME
 11.03   1987    2948.7     35.1      11.9  SAME
 11.05   1987    3207.1     38.2       8.8  SAME
 11.06   1987    2948.1     35.1      11.9  SAME
 11.08   1987    3196.1     38.1       8.9  SAME
 11.09   1987    2948.2     35.1      11.9  SAME
 11.11   1987    3205.6     38.2       8.8  SAME
 11.12   1987    2948.2     35.1      11.9  SAME
 11.14   1987    3208.6     38.2       8.8  SAME
 11.15   1987    3199.7     38.1       8.9  SAME
 11.17   1987    2948.3     35.1      11.9  SAME
 11.19   1987    3209.1     38.3       8.7  SAME
 11.20   1987    2948.6     35.1      11.9  SAME
 11.22   1987    3198.1     38.1       8.9  SAME
 11.23   1987    2948.1     35.1      11.9  SAME
 11.25   1987    3207.1     38.2       8.8  SAME
 11.26   1987    2948.1     35.1      11.9  SAME
 11.28   1987    3196.6     38.1       8.9  SAME
 11.29   1987    2948.3     35.1      11.9  SAME
 11.31   1987    3206.2     38.2       8.8  SAME
 11.32   1987    2948.6     35.1      11.9  SAME
 11.34   1987    3208.6     38.2       8.8  SAME
 11.35   1987    3200.1     38.1       8.9  SAME
 11.37   1987    2948.2     35.1      11.9  SAME
 11.38   1987    3203.1     38.2       8.8  SAME
 11.40   1987    2948.6     35.1      11.9  SAME
 11.41   1987    3198.1     38.1       8.9  SAME
 11.43   1987    2948.4     35.1      11.9  SAME
 11.44   1987    3201.6     38.2       8.8  SAME
 11.46   1987    2948.2     35.1      11.9  SAME
 11.47   1987    3196.6     38.1       8.9  SAME
 11.49   1987    2948.6     35.1      11.9  SAME
 11.50   1987    3200.2     38.1       8.9  SAME
 11.52   1987    2948.6     35.1      11.9  SAME
 11.53   1987    3209.1     38.3       8.7  SAME
 11.55   1987    3214.2     38.3       8.7  SAME
 11.56   1987    2948.2     35.1      11.9  SAME
 11.58   1987    3203.1     38.2       8.8  SAME
 11.59   1987    2948.9     35.2      11.8  SAME
 11.61   1987    3212.9     38.3       8.7  SAME
 11.62   1987    2948.7     35.1      11.9  SAME
 11.64   1987    3201.6     38.2       8.8  SAME
 11.65   1987    2948.2     35.1      11.9  SAME
 11.67   1987    3211.2     38.3       8.7  SAME
 11.68   1987    2948.6     35.1      11.9  SAME
 11.70   1987    3200.1     38.1       8.9  SAME
 11.71   1987    2948.1     35.1      11.9  SAME
 11.73   1987    3209.4     38.3       8.7  SAME
 11.74   1987    3208.1     38.2       8.8  SAME
 11.76   1987    2948.2     35.1      11.9  SAME
 11.77   1987    3203.1     38.2       8.8  SAME
 11.79   1987    2948.1     35.1      11.9  SAME
 11.80   1987    3206.6     38.2       8.8  SAME
 11.82   1987    2948.2     35.1      11.9  SAME
 11.83   1987    3202.2     38.2       8.8  SAME
 11.85   1987    2948.2     35.1      11.9  SAME
 11.86   1987    3205.1     38.2       8.8  SAME
 11.88   1987    2948.7     35.1      11.9  SAME
 11.89   1987    3214.1     38.3       8.7  SAME
 11.91   1987    2948.1     35.1      11.9  SAME
