time_seconds,D0,D1,D2
10.500300,0,0,0
10.503800,1,0,0
10.505534,1,1,0
10.505534,1,1,1
10.508535,1,0,1
10.508535,1,0,0
10.535500,0,0,0
10.539000,1,0,0
10.540707,1,1,0
10.540707,1,1,1
10.543708,1,0,1
10.543708,1,0,0
10.570600,0,0,0
10.574100,1,0,0
10.575780,1,1,0
10.575780,1,1,1
10.578781,1,0,1
10.578781,1,0,0
10.605600,0,0,0
10.609000,1,0,0
10.610754,1,1,0
10.610754,1,1,1
10.613755,1,0,1
10.613755,1,0,0
10.640300,0,0,0
10.643800,1,0,0
10.645379,1,1,0
10.645379,1,1,1
10.648381,1,0,1
10.648381,1,0,0
10.675000,0,0,0
10.678500,1,0,0
10.680076,1,1,0
10.680076,1,1,1
10.683077,1,0,1
10.683077,1,0,0
10.709600,0,0,0
10.713100,1,0,0
10.714649,1,1,0
10.714649,1,1,1
10.717650,1,0,1
10.717650,1,0,0
10.744100,0,0,0
10.747600,1,0,0
10.749123,1,1,0
10.749123,1,1,1
10.752124,1,0,1
10.752124,1,0,0
10.778500,0,0,0
10.781900,1,0,0
10.783497,1,1,0
10.783497,1,1,1
10.786498,1,0,1
10.786498,1,0,0
10.812700,0,0,0
10.816100,1,0,0
10.817647,1,1,0
10.817647,1,1,1
10.820648,1,0,1
10.820648,1,0,0
10.846800,0,0,0
10.850200,1,0,0
10.851720,1,1,0
10.851721,1,1,1
10.854721,1,0,1
10.854721,1,0,0
10.880800,0,0,0
10.884200,1,0,0
10.885694,1,1,0
10.885694,1,1,1
10.888695,1,0,1
10.888696,1,0,0
10.914700,0,0,0
10.918100,1,0,0
10.919567,1,1,0
10.919567,1,1,1
10.922568,1,0,1
10.922568,1,0,0
10.948500,0,0,0
10.951900,1,0,0
10.953340,1,1,0
10.953340,1,1,1
10.956341,1,0,1
10.956341,1,0,0
10.982200,0,0,0
10.985600,1,0,0
10.987014,1,1,0
10.987014,1,1,1
10.990015,1,0,1
10.990015,1,0,0
11.015800,0,0,0
11.019100,1,0,0
11.020588,1,1,0
11.020588,1,1,1
11.023590,1,0,1
11.023590,1,0,0
11.049200,0,0,0
11.052500,1,0,0
11.053938,1,1,0
11.053939,1,1,1
11.056940,1,0,1
11.056940,1,0,0
11.082500,0,0,0
11.085800,1,0,0
11.087212,1,1,0
11.087212,1,1,1
11.090213,1,0,1
11.090213,1,0,0
11.115700,0,0,0
11.119000,1,0,0
11.120386,1,1,0
11.120386,1,1,1
11.123387,1,0,1
11.123387,1,0,0
11.148800,0,0,0
11.152100,1,0,0
11.153459,1,1,0
11.153459,1,1,1
11.156460,1,0,1
11.156460,1,0,0
11.181800,0,0,0
11.185100,1,0,0
11.186433,1,1,0
11.186433,1,1,1
11.189434,1,0,1
11.189434,1,0,0
11.214700,0,0,0
11.218000,1,0,0
11.219306,1,1,0
11.219306,1,1,1
11.222308,1,0,1
11.222308,1,0,0
11.247500,0,0,0
11.250800,1,0,0
11.252080,1,1,0
11.252080,1,1,1
11.255081,1,0,1
11.255081,1,0,0
11.280300,0,0,0
11.283500,1,0,0
11.284878,1,1,0
11.284878,1,1,1
11.287879,1,0,1
11.287879,1,0,0
11.312900,0,0,0
11.316100,1,0,0
11.317428,1,1,0
11.317428,1,1,1
11.320429,1,0,1
11.320429,1,0,0
11.345400,0,0,0
11.348600,1,0,0
11.349902,1,1,0
11.349902,1,1,1
11.352903,1,0,1
11.352904,1,0,0
11.377800,0,0,0
11.381000,1,0,0
11.382276,1,1,0
11.382276,1,1,1
11.385277,1,0,1
11.385277,1,0,0
11.410100,0,0,0
11.413300,1,0,0
11.414549,1,1,0
11.414550,1,1,1
11.417551,1,0,1
11.417551,1,0,0
11.442300,0,0,0
11.445500,1,0,0
11.446723,1,1,0
11.446723,1,1,1
11.449725,1,0,1
11.449725,1,0,0
11.474400,0,0,0
11.477600,1,0,0
11.478797,1,1,0
11.478797,1,1,1
11.481799,1,0,1
11.481799,1,0,0
11.506400,0,0,0
11.509600,1,0,0
11.510771,1,1,0
11.510771,1,1,1
11.513772,1,0,1
11.513772,1,0,0
11.538400,0,0,0
11.541500,1,0,0
11.542768,1,1,0
11.542769,1,1,1
11.545770,1,0,1
11.545770,1,0,0
11.570200,0,0,0
11.573300,1,0,0
11.574519,1,1,0
11.574519,1,1,1
11.577520,1,0,1
11.577520,1,0,0
11.601900,0,0,0
11.605000,1,0,0
11.606193,1,1,0
11.606193,1,1,1
11.609194,1,0,1
11.609194,1,0,0
11.633500,0,0,0
11.636700,1,0,0
11.637767,1,1,0
11.637767,1,1,1
11.640769,1,0,1
11.640769,1,0,0
11.665100,0,0,0
11.668300,1,0,0
11.669365,1,1,0
11.669365,1,1,1
11.672366,1,0,1
11.672366,1,0,0
11.696600,0,0,0
11.699800,1,0,0
11.700839,1,1,0
11.700839,1,1,1
11.703840,1,0,1
11.703840,1,0,0
11.728100,0,0,0
11.731200,1,0,0
11.732337,1,1,0
11.732337,1,1,1
11.735338,1,0,1
11.735338,1,0,0
11.759400,0,0,0
11.762500,1,0,0
11.763587,1,1,0
11.763588,1,1,1
11.766589,1,0,1
11.766589,1,0,0
11.790600,0,0,0
11.793700,1,0,0
11.794762,1,1,0
11.794762,1,1,1
11.797763,1,0,1
11.797763,1,0,0
11.821700,0,0,0
11.824800,1,0,0
11.825836,1,1,0
11.825836,1,1,1
11.828837,1,0,1
11.828837,1,0,0
11.852700,0,0,0
11.855800,1,0,0
11.856810,1,1,0
11.856810,1,1,1
11.859811,1,0,1
11.859811,1,0,0
11.883700,0,0,0
11.886700,1,0,0
11.887807,1,1,0
11.887807,1,1,1
11.890808,1,0,1
11.890808,1,0,0
11.914500,0,0,0
11.917600,1,0,0
11.918559,1,1,0
11.918559,1,1,1
11.921560,1,0,1
11.921560,1,0,0
11.945300,0,0,0
11.948400,1,0,0
11.949355,1,1,0
11.949355,1,1,1
11.952356,1,0,1
11.952356,1,0,0
11.976000,0,0,0
11.979100,1,0,0
11.980030,1,1,0
11.980030,1,1,1
11.983031,1,0,1
11.983031,1,0,0
12.006700,0,0,0
12.009700,1,0,0
12.010727,1,1,0
12.010727,1,1,1
12.013732,1,0,1
12.013732,1,0,0
12.037200,0,0,0
12.040200,1,0,0
12.041179,1,1,0
12.041179,1,1,1
12.044180,1,0,1
12.044180,1,0,0
12.067600,0,0,0
12.070600,1,0,0
12.071553,1,1,0
12.071553,1,1,1
