time_seconds,D0,D1,D2
32.5082,1,1,1
32.509112062,1,0,1
32.509112125,1,0,0
32.518099999,0,0,0
32.519104062,0,1,0
32.519104187,0,1,1
32.519199999,1,1,1
32.5201115,1,0,1
32.520111562,1,0,0
32.5291,0,0,0
32.530104125,0,1,0
32.53010425,0,1,1
32.5302,1,1,1
32.531111375,1,0,1
32.531111437,1,0,0
32.5401,0,0,0
32.541103999,0,1,0
32.541104124,0,1,1
32.5412,1,1,1
32.542111374,1,0,1
32.542111437,1,0,0
32.5511,0,0,0
32.552104312,0,1,0
32.552104437,0,1,1
32.5522,1,1,1
32.553111437,1,0,1
32.5531115,1,0,0
32.5621,0,0,0
32.563104,0,1,0
32.563104125,0,1,1
32.5632,1,1,1
32.564111375,1,0,1
32.564111437,1,0,0
32.573099999,0,0,0
32.5741,1,0,0
32.574104,1,1,0
32.574104124,1,1,1
32.575111375,1,0,1
32.575111437,1,0,0
32.584,0,0,0
32.5849905,0,1,0
32.584990625,0,1,1
32.585,1,1,1
32.585991937,1,0,1
32.585991999,1,0,0
32.5949,0,0,0
32.5958895,0,1,0
32.595889624,0,1,1
32.5959,1,1,1
32.596890875,1,0,1
32.596890937,1,0,0
32.6057,0,0,0
32.6066695,0,1,0
32.606669625,0,1,1
32.6068,1,1,1
32.607670937,1,0,1
32.607671,1,0,0
32.6166,0,0,0
32.6175875,0,1,0
32.617587625,0,1,1
32.6177,1,1,1
32.618588937,1,0,1
32.618589,1,0,0
32.627499999,0,0,0
32.628487687,0,1,0
32.628487812,0,1,1
32.6286,1,1,1
32.629488875,1,0,1
32.629488937,1,0,0
32.638399999,0,0,0
32.639387562,0,1,0
32.639387687,0,1,1
32.6395,1,1,1
32.640388375,1,0,1
32.640388437,1,0,0
32.649299999,0,0,0
32.650287,0,1,0
32.650287125,0,1,1
32.650399999,1,1,1
32.6512885,1,0,1
32.651288562,1,0,0
32.6602,0,0,0
32.661187124,0,1,0
32.661187249,0,1,1
32.661299999,1,1,1
32.662188375,1,0,1
32.662188437,1,0,0
32.6711,0,0,0
32.672086999,0,1,0
32.672087124,0,1,1
32.672199999,1,1,1
32.673088937,1,0,1
32.673088999,1,0,0
32.682,0,0,0
32.682987062,0,1,0
32.682987187,0,1,1
32.6831,1,1,1
32.683988375,1,0,1
32.683988437,1,0,0
32.6929,0,0,0
32.693887125,0,1,0
32.69388725,0,1,1
32.694,1,1,1
32.694888499,1,0,1
32.694888562,1,0,0
32.7038,0,0,0
32.704787125,0,1,0
32.70478725,0,1,1
32.7049,1,1,1
32.705788374,1,0,1
32.705788437,1,0,0
32.7147,0,0,0
32.715687,0,1,0
32.715687125,0,1,1
32.7158,1,1,1
32.716688437,1,0,1
32.716688499,1,0,0
32.7256,0,0,0
32.726587,0,1,0
32.726587125,0,1,1
32.7267,1,1,1
32.7275885,1,0,1
32.727588562,1,0,0
32.7365,0,0,0
32.737487062,0,1,0
32.737487187,0,1,1
32.7376,1,1,1
32.7384885,1,0,1
32.738488562,1,0,0
32.7474,0,0,0
32.748387062,0,1,0
32.748387187,0,1,1
32.7485,1,1,1
32.749388375,1,0,1
32.749388437,1,0,0
32.7583,0,0,0
32.75928725,0,1,0
32.759287375,0,1,1
32.7594,1,1,1
32.760288375,1,0,1
32.760288437,1,0,0
32.769199999,0,0,0
32.770187125,0,1,0
32.77018725,0,1,1
32.7703,1,1,1
32.771188437,1,0,1
32.7711885,1,0,0
32.780099999,0,0,0
32.781087,0,1,0
32.781087125,0,1,1
32.7812,1,1,1
32.782088437,1,0,1
32.7820885,1,0,0
32.790999999,0,0,0
32.791987,0,1,0
32.791987125,0,1,1
32.792099999,1,1,1
32.792988625,1,0,1
32.792988687,1,0,0
32.8019,0,0,0
32.802887,0,1,0
32.802887124,0,1,1
32.802999999,1,1,1
32.803888875,1,0,1
32.803888937,1,0,0
32.8128,0,0,0
32.813787124,0,1,0
32.813787249,0,1,1
32.813899999,1,1,1
32.814788375,1,0,1
32.814788437,1,0,0
32.8237,0,0,0
32.824686999,0,1,0
32.824687124,0,1,1
32.8248,1,1,1
32.825688375,1,0,1
32.825688437,1,0,0
32.8346,0,0,0
32.83558725,0,1,0
32.835587375,0,1,1
32.8357,1,1,1
32.836588374,1,0,1
32.836588437,1,0,0
32.8455,0,0,0
32.846487062,0,1,0
32.846487187,0,1,1
32.8466,1,1,1
32.847488875,1,0,1
32.847488937,1,0,0
32.8564,0,0,0
32.857387,0,1,0
32.857387125,0,1,1
32.8575,1,1,1
32.858388374,1,0,1
32.858388437,1,0,0
32.8673,0,0,0
32.868287,0,1,0
32.868287125,0,1,1
32.868299999,1,1,1
32.869288625,1,0,1
32.869288687,1,0,0
32.8781,0,0,0
32.879067499,0,1,0
32.879067624,0,1,1
32.8791,1,1,1
32.880069,1,0,1
32.880069062,1,0,0
32.8889,0,0,0
32.889867125,0,1,0
32.88986725,0,1,1
32.889899999,1,1,1
32.890868374,1,0,1
32.890868437,1,0,0
32.8997,0,0,0
32.900666062,0,1,0
32.900666187,0,1,1
32.9007,1,1,1
32.9016675,1,0,1
32.901667562,1,0,0
32.9105,0,0,0
32.911465999,0,1,0
32.911466124,0,1,1
32.911499999,1,1,1
32.912467437,1,0,1
32.9124675,1,0,0
32.9213,0,0,0
32.922265,0,1,0
32.922265125,0,1,1
32.9223,1,1,1
32.923266437,1,0,1
32.923266499,1,0,0
32.9321,0,0,0
32.933065062,0,1,0
32.933065187,0,1,1
32.9331,1,1,1
32.934066562,1,0,1
32.934066625,1,0,0
32.9428,0,0,0
32.9437455,0,1,0
32.943745625,0,1,1
32.9439,1,1,1
32.944746875,1,0,1
32.944746937,1,0,0
32.9536,0,0,0
32.9545635,0,1,0
32.954563625,0,1,1
32.9547,1,1,1
32.955564937,1,0,1
32.955565,1,0,0
32.964399999,0,0,0
32.965364687,0,1,0
32.965364812,0,1,1
32.9655,1,1,1
32.966365875,1,0,1
32.966365937,1,0,0
32.9752,0,0,0
32.976163999,0,1,0
32.976164124,0,1,1
32.9763,1,1,1
32.977165437,1,0,1
32.9771655,1,0,0
32.985999999,0,0,0
32.986964,0,1,0
32.986964125,0,1,1
32.987099999,1,1,1
32.987965812,1,0,1
32.987965875,1,0,0
32.9968,0,0,0
32.997763999,0,1,0
32.997764125,0,1,1
32.9979,1,1,1
32.998765374,1,0,1
32.998765437,1,0,0
33.007599999,0,0,0
33.008564,0,1,0
33.008564125,0,1,1
33.008699999,1,1,1
33.009565375,1,0,1
33.009565437,1,0,0
33.0184,0,0,0
33.0193645,0,1,0
33.019364625,0,1,1
33.0195,1,1,1
33.020365875,1,0,1
33.020365937,1,0,0
33.0292,0,0,0
33.030164,0,1,0
33.030164125,0,1,1
33.030299999,1,1,1
33.031165437,1,0,1
33.0311655,1,0,0
33.04,0,0,0
33.040964,0,1,0
33.040964125,0,1,1
33.0411,1,1,1
33.041965374,1,0,1
33.041965437,1,0,0
33.0508,0,0,0
33.051764,0,1,0
33.051764125,0,1,1
33.0519,1,1,1
33.052765375,1,0,1
33.052765437,1,0,0
33.0616,0,0,0
33.062564125,0,1,0
33.06256425,0,1,1
33.0627,1,1,1
33.0635655,1,0,1
33.063565562,1,0,0
33.0724,0,0,0
33.073364187,0,1,0
33.073364312,0,1,1
33.0735,1,1,1
33.074365375,1,0,1
33.074365437,1,0,0
33.083199999,0,0,0
33.084164,0,1,0
33.084164125,0,1,1
33.0843,1,1,1
33.085165812,1,0,1
33.085165875,1,0,0
33.094,0,0,0
33.094964187,0,1,0
33.094964312,0,1,1
33.0951,1,1,1
33.095965375,1,0,1
33.095965437,1,0,0
33.104799999,0,0,0
33.105764,0,1,0
33.105764125,0,1,1
33.1059,1,1,1
33.106765375,1,0,1
33.106765437,1,0,0
33.1156,0,0,0
33.116564062,0,1,0
33.116564187,0,1,1
33.1167,1,1,1
33.117565374,1,0,1
33.117565437,1,0,0
33.126399999,0,0,0
33.127364187,0,1,0
33.127364312,0,1,1
33.127499999,1,1,1
33.128365375,1,0,1
33.128365437,1,0,0
33.1372,0,0,0
33.138164062,0,1,0
33.138164187,0,1,1
33.1383,1,1,1
33.139165374,1,0,1
33.139165437,1,0,0
33.148,0,0,0
33.148964687,0,1,0
33.148964812,0,1,1
33.149099999,1,1,1
33.149965937,1,0,1
33.149966,1,0,0
33.1588,0,0,0
33.159764,0,1,0
33.159764125,0,1,1
33.1599,1,1,1
33.160765437,1,0,1
33.160765499,1,0,0
33.1696,0,0,0
33.170564062,0,1,0
33.170564187,0,1,1
33.1706,1,1,1
33.171565375,1,0,1
33.171565437,1,0,0
33.1803,0,0,0
33.181244562,0,1,0
33.181244687,0,1,1
33.1813,1,1,1
33.182245875,1,0,1
33.182245937,1,0,0
33.191,0,0,0
33.1919445,0,1,0
33.191944624,0,1,1
33.192,1,1,1
33.192945437,1,0,1
33.1929455,1,0,0
33.2017,0,0,0
33.202643,0,1,0
33.202643125,0,1,1
33.2027,1,1,1
33.203644375,1,0,1
33.203644437,1,0,0
33.2124,0,0,0
33.213342562,0,1,0
33.213342687,0,1,1
33.2134,1,1,1
33.214343874,1,0,1
33.214343937,1,0,0
33.2231,0,0,0
33.2240425,0,1,0
33.224042625,0,1,1
33.2241,1,1,1
33.225043874,1,0,1
33.225043937,1,0,0
33.2338,0,0,0
33.234742437,0,1,0
33.234742562,0,1,1
33.2348,1,1,1
33.235743375,1,0,1
33.235743437,1,0,0
33.2445,0,0,0
33.245441999,0,1,0
33.245442124,0,1,1
33.2455,1,1,1
33.246443375,1,0,1
33.246443437,1,0,0
33.2552,0,0,0
33.256141999,0,1,0
33.256142124,0,1,1
33.2562,1,1,1
33.257143375,1,0,1
33.257143437,1,0,0
33.2659,0,0,0
33.2668415,0,1,0
33.266841624,0,1,1
33.2669,1,1,1
33.267843062,1,0,1
33.267843125,1,0,0
33.2765,0,0,0
33.2774225,0,1,0
33.277422625,0,1,1
33.2776,1,1,1
33.278423875,1,0,1
33.278423937,1,0,0
33.2872,0,0,0
33.288140499,0,1,0
33.288140624,0,1,1
33.2883,1,1,1
33.289142,1,0,1
33.289142062,1,0,0
33.2979,0,0,0
33.298840562,0,1,0
33.298840687,0,1,1
33.299,1,1,1
33.299842374,1,0,1
33.299842437,1,0,0
33.3086,0,0,0
33.309541,0,1,0
33.309541125,0,1,1
33.3097,1,1,1
33.310542437,1,0,1
33.310542499,1,0,0
33.3193,0,0,0
33.32024125,0,1,0
33.320241375,0,1,1
33.3204,1,1,1
33.321242437,1,0,1
33.321242499,1,0,0
33.33,0,0,0
33.330941125,0,1,0
33.33094125,0,1,1
33.3311,1,1,1
33.331942374,1,0,1
33.331942437,1,0,0
33.3407,0,0,0
33.341641437,0,1,0
33.341641562,0,1,1
33.3418,1,1,1
33.342642374,1,0,1
33.342642437,1,0,0
33.3514,0,0,0
33.352341,0,1,0
33.352341125,0,1,1
33.3525,1,1,1
33.353342437,1,0,1
33.353342499,1,0,0
33.362099999,0,0,0
33.363041,0,1,0
33.363041125,0,1,1
33.3632,1,1,1
33.364042437,1,0,1
33.364042499,1,0,0
33.372799999,0,0,0
33.373741437,0,1,0
33.373741562,0,1,1
33.3739,1,1,1
33.374742374,1,0,1
33.374742437,1,0,0
33.383499999,0,0,0
33.384441,0,1,0
33.384441125,0,1,1
33.3846,1,1,1
33.3854425,1,0,1
33.385442562,1,0,0
33.394199999,0,0,0
33.395141312,0,1,0
33.395141437,0,1,1
33.3953,1,1,1
33.396142437,1,0,1
33.3961425,1,0,0
33.404899999,0,0,0
33.405841562,0,1,0
33.405841687,0,1,1
33.406,1,1,1
33.406842374,1,0,1
33.406842437,1,0,0
33.415599999,0,0,0
33.416541062,0,1,0
33.416541187,0,1,1
33.4167,1,1,1
33.417542374,1,0,1
33.417542437,1,0,0
33.426299999,0,0,0
33.427241312,0,1,0
33.427241437,0,1,1
33.4274,1,1,1
33.428242375,1,0,1
33.428242437,1,0,0
33.436999999,0,0,0
33.437941187,0,1,0
33.437941312,0,1,1
33.4381,1,1,1
33.438942437,1,0,1
33.4389425,1,0,0
33.447699999,0,0,0
33.448641187,0,1,0
33.448641312,0,1,1
33.4488,1,1,1
33.449642375,1,0,1
33.449642437,1,0,0
33.458399999,0,0,0
33.459341062,0,1,0
33.459341187,0,1,1
33.4595,1,1,1
33.460342375,1,0,1
33.460342437,1,0,0
33.469099999,0,0,0
33.470041187,0,1,0
33.470041312,0,1,1
33.4702,1,1,1
33.471042375,1,0,1
33.471042437,1,0,0
33.479799999,0,0,0
33.480741187,0,1,0
33.480741312,0,1,1
33.4808,1,1,1
33.481742375,1,0,1
33.481742437,1,0,0
33.4904,0,0,0
33.4913225,0,1,0
33.491322625,0,1,1
33.4914,1,1,1
33.492323437,1,0,1
33.492323499,1,0,0
33.500999999,0,0,0
33.501921312,0,1,0
33.501921437,0,1,1
33.502,1,1,1
33.502922374,1,0,1
33.502922437,1,0,0
33.5116,0,0,0
33.5125205,0,1,0
33.512520625,0,1,1
33.5126,1,1,1
33.513522187,1,0,1
33.51352225,1,0,0
33.522199999,0,0,0
33.52312,0,1,0
33.523120125,0,1,1
33.5232,1,1,1
33.524121375,1,0,1
33.524121437,1,0,0
33.5328,0,0,0
33.533719499,0,1,0
33.533719625,0,1,1
33.5338,1,1,1
33.534720937,1,0,1
33.534720999,1,0,0
33.5434,0,0,0
33.544319875,0,1,0
33.54432,0,1,1
33.5444,1,1,1
33.545320875,1,0,1
33.545320937,1,0,0
33.554,0,0,0
33.554919,0,1,0
33.554919124,0,1,1
33.555,1,1,1
33.555920812,1,0,1
33.555920875,1,0,0
33.5646,0,0,0
33.565519,0,1,0
33.565519125,0,1,1
33.5656,1,1,1
33.566520375,1,0,1
33.566520437,1,0,0
33.5752,0,0,0
33.576119499,0,1,0
33.576119624,0,1,1
33.5762,1,1,1
33.577124499,1,0,1
33.577124562,1,0,0
33.5858,0,0,0
33.586719312,0,1,0
33.586719437,0,1,1
33.586799999,1,1,1
33.587720375,1,0,1
33.587720437,1,0,0
33.5964,0,0,0
33.597319062,0,1,0
33.597319187,0,1,1
33.5974,1,1,1
33.598320437,1,0,1
33.5983205,1,0,0
33.607,0,0,0
33.607919,0,1,0
33.607919125,0,1,1
33.607999999,1,1,1
33.608920687,1,0,1
33.60892075,1,0,0
33.6175,0,0,0
33.618399625,0,1,0
33.61839975,0,1,1
33.6186,1,1,1
33.619400874,1,0,1
33.619400937,1,0,0
33.6281,0,0,0
33.6290175,0,1,0
33.629017625,0,1,1
33.629199999,1,1,1
33.630018937,1,0,1
33.630018999,1,0,0
33.6387,0,0,0
33.639618,0,1,0
33.639618125,0,1,1
33.6398,1,1,1
33.640619437,1,0,1
33.6406195,1,0,0
33.649299999,0,0,0
33.650218187,0,1,0
33.650218312,0,1,1
33.650399999,1,1,1
33.651219374,1,0,1
33.651219437,1,0,0
33.6599,0,0,0
33.660818062,0,1,0
33.660818187,0,1,1
33.661,1,1,1
33.661819437,1,0,1
33.6618195,1,0,0
33.670499999,0,0,0
33.671418187,0,1,0
33.671418312,0,1,1
33.671599999,1,1,1
33.672419374,1,0,1
33.672419437,1,0,0
33.6811,0,0,0
33.682018125,0,1,0
33.68201825,0,1,1
33.6822,1,1,1
33.683019562,1,0,1
33.683019625,1,0,0
33.691699999,0,0,0
33.692618125,0,1,0
33.69261825,0,1,1
33.6928,1,1,1
33.693619499,1,0,1
33.693619562,1,0,0
33.7023,0,0,0
33.703218062,0,1,0
33.703218187,0,1,1
33.7034,1,1,1
33.704219375,1,0,1
33.704219437,1,0,0
33.712899999,0,0,0
33.713818,0,1,0
33.713818125,0,1,1
33.714,1,1,1
33.714819749,1,0,1
33.714819812,1,0,0
33.7235,0,0,0
33.724418,0,1,0
33.724418125,0,1,1
33.7246,1,1,1
33.725419375,1,0,1
33.725419437,1,0,0
33.734099999,0,0,0
33.735017999,0,1,0
33.735018125,0,1,1
33.7352,1,1,1
33.736019374,1,0,1
33.736019437,1,0,0
33.7447,0,0,0
33.745618,0,1,0
33.745618125,0,1,1
33.7458,1,1,1
33.746619375,1,0,1
33.746619437,1,0,0
33.7553,0,0,0
33.756218062,0,1,0
33.756218187,0,1,1
33.7564,1,1,1
33.757219375,1,0,1
33.757219437,1,0,0
33.7659,0,0,0
33.766818062,0,1,0
33.766818187,0,1,1
33.767,1,1,1
33.767819437,1,0,1
33.7678195,1,0,0
33.7765,0,0,0
33.777417999,0,1,0
33.777418124,0,1,1
33.7776,1,1,1
33.778419437,1,0,1
33.7784195,1,0,0
33.7871,0,0,0
33.788018125,0,1,0
33.78801825,0,1,1
33.7882,1,1,1
33.789019375,1,0,1
33.789019437,1,0,0
33.7977,0,0,0
33.798617999,0,1,0
33.798618124,0,1,1
